customer_id,first_name,last_name,email,city,state,country,segment,record_type,updated_at
84b83f7a-8af2-44e4-a427-11843357165d,Kristen,Smith,kristin35@example.com,Wernerside,TX,US,Home Office,I,2026-07-15T15:35:11.478684+00:00
66adde49-d474-48de-b1f3-803d0c1267d0,Sheila,Bolton,yhaynes@example.net,New Lori,TN,US,Consumer,I,2026-07-15T15:35:11.478809+00:00
8de33f81-b504-4f4a-ba8d-12dd54ad320f,Christine,Williams,cynthia22@example.org,Lake Melaniehaven,MA,US,Consumer,I,2026-07-15T15:35:11.478920+00:00
f6944810-3592-4cc5-be21-27a737bb41d5,Andrew,Barnes,goodwinmark@example.net,Ramseyborough,OH,US,Corporate,I,2026-07-15T15:35:11.479073+00:00
6e98fe06-cc8d-41c3-b0f1-db02dd1d1d1d,Breanna,Ward,yprice@example.net,Danielborough,VA,US,Consumer,I,2026-07-15T15:35:11.479187+00:00
124d7d22-2330-4aa7-8187-b80922d8a1f5,Karen,Jones,ryanramirez@example.org,Port Sally,NH,US,Home Office,I,2026-07-15T15:35:11.479319+00:00
f96da53b-1555-4e36-a261-98c57454c507,Brooke,Jimenez,sean43@example.org,Shannonmouth,CA,US,Corporate,I,2026-07-15T15:35:11.479432+00:00
10ded2d6-45ca-496d-a278-e6d7b430f6e0,Brenda,Bell,warrenalex@example.org,Andrewmouth,RI,US,Corporate,I,2026-07-15T15:35:11.479563+00:00
c60cb9a8-9612-4f4e-8d76-2b3bbdafa211,Amy,Delgado,scastillo@example.com,Daniellefurt,SC,US,Corporate,I,2026-07-15T15:35:11.479675+00:00
8c1ad243-de2d-4c52-b0ea-915b5406f9b7,Christopher,Merritt,kevinhuber@example.com,Melissaside,IA,US,Corporate,I,2026-07-15T15:35:11.479807+00:00
898cb93f-e0ee-4d36-a6aa-d60c10ef2fe3,Kathleen,Delgado,dalemartinez@example.org,Port Ryan,MI,US,Consumer,I,2026-07-15T15:35:11.479938+00:00
1924ef6e-7c4e-41e2-9fdc-7d56905266f2,Ronald,Coffey,combsconnie@example.org,North Davidberg,SC,US,Consumer,I,2026-07-15T15:35:11.480070+00:00
efe1488b-c21c-4345-8d8c-3ba4b2821c95,Jasmin,Copeland,josephperry@example.org,North Pamela,IA,US,Corporate,I,2026-07-15T15:35:11.480201+00:00
e92dc676-0188-4d3b-9cf3-85222ccb4459,Kristine,Scott,gsmith@example.com,Brianton,ID,US,Corporate,I,2026-07-15T15:35:11.480315+00:00
dcb47e5f-6906-4d1a-b747-3f731f428cbe,Keith,Smith,penaanthony@example.com,South Joelburgh,IN,US,Home Office,I,2026-07-15T15:35:11.480455+00:00
d9725dc3-547a-47b2-bc78-376640cb0855,Jessica,Merritt,jilljackson@example.com,New Malik,IL,US,Corporate,I,2026-07-15T15:35:11.480584+00:00
e0101505-0237-4c5d-b5f7-acecb6ea4aa7,Kathleen,Collins,sylviariddle@example.com,North Kimberly,FL,US,Corporate,I,2026-07-15T15:35:11.480715+00:00
